Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Date,Hour,Minute,Time Period
5771,Airport,4,Trip Completed,7/15/2016 8:30,7/15/2016 9:37,7/15/2016,8,30,Morning
6106,Airport,4,Trip Completed,7/15/2016 15:01,7/15/2016 15:47,7/15/2016,15,1,Afternoon
312,City,5,Trip Completed,11/7/2016 7:27,11/7/2016 8:31,11/7/2016,7,27,Early Morning
577,Airport,5,Trip Completed,11/7/2016 11:03,11/7/2016 12:01,11/7/2016,11,3,Morning
1179,City,5,Trip Completed,11/7/2016 20:58,11/7/2016 21:45,11/7/2016,20,58,Night
1756,Airport,5,Trip Completed,12/7/2016 8:40,12/7/2016 9:23,12/7/2016,8,40,Morning
2052,City,5,Trip Completed,12/7/2016 14:48,12/7/2016 15:50,12/7/2016,14,48,Afternoon
2559,City,5,Trip Completed,12/7/2016 21:32,12/7/2016 22:29,12/7/2016,21,32,Night
3014,City,5,Trip Completed,7/13/2016 7:28,7/13/2016 8:29,7/13/2016,7,28,Early Morning
3317,City,5,Trip Completed,7/13/2016 12:14,7/13/2016 12:46,7/13/2016,12,14,Afternoon
4297,City,5,Trip Completed,7/14/2016 6:43,7/14/2016 7:49,7/14/2016,6,43,Early Morning
5857,Airport,5,Trip Completed,7/15/2016 9:08,7/15/2016 10:07,7/15/2016,9,8,Morning
6690,Airport,5,Trip Completed,7/15/2016 22:41,7/15/2016 23:51,7/15/2016,22,41,Night
1517,Airport,6,Trip Completed,12/7/2016 5:45,12/7/2016 6:28,12/7/2016,5,45,Early Morning
1999,Airport,6,Trip Completed,12/7/2016 13:02,12/7/2016 13:51,12/7/2016,13,2,Afternoon
2960,Airport,6,Trip Completed,7/13/2016 6:50,7/13/2016 7:40,7/13/2016,6,50,Early Morning
3882,City,6,Trip Completed,7/13/2016 21:53,7/13/2016 22:45,7/13/2016,21,53,Night
4081,Airport,6,Trip Completed,7/14/2016 2:37,7/14/2016 3:30,7/14/2016,2,37,Late Night
4740,City,6,Trip Completed,7/14/2016 14:50,7/14/2016 15:38,7/14/2016,14,50,Afternoon
5270,City,6,Trip Completed,7/14/2016 21:33,7/14/2016 22:25,7/14/2016,21,33,Night
6758,Airport,6,Trip Completed,7/15/2016 0:03,7/15/2016 1:07,7/15/2016,0,3,Late Night
5741,City,6,Trip Completed,7/15/2016 7:52,7/15/2016 8:38,7/15/2016,7,52,Early Morning
6087,Airport,6,Trip Completed,7/15/2016 14:28,7/15/2016 15:33,7/15/2016,14,28,Afternoon
1039,City,7,Trip Completed,11/7/2016 19:31,11/7/2016 20:41,11/7/2016,19,31,Night
1273,Airport,7,Trip Completed,11/7/2016 22:07,11/7/2016 23:12,11/7/2016,22,7,Night
2480,City,7,Trip Completed,12/7/2016 20:39,12/7/2016 21:28,12/7/2016,20,39,Night
4105,City,7,Trip Completed,7/14/2016 3:39,7/14/2016 4:39,7/14/2016,3,39,Late Night
4509,City,7,Trip Completed,7/14/2016 9:11,7/14/2016 10:17,7/14/2016,9,11,Morning
4986,Airport,7,Trip Completed,7/14/2016 18:52,7/14/2016 19:50,7/14/2016,18,52,Evening
5898,City,7,Trip Completed,7/15/2016 9:50,7/15/2016 10:40,7/15/2016,9,50,Morning
6142,Airport,7,Trip Completed,7/15/2016 15:50,7/15/2016 16:36,7/15/2016,15,50,Afternoon
380,Airport,8,Trip Completed,11/7/2016 8:18,11/7/2016 9:18,11/7/2016,8,18,Morning
1050,Airport,8,Trip Completed,11/7/2016 19:39,11/7/2016 20:30,11/7/2016,19,39,Night
1769,City,8,Trip Completed,12/7/2016 8:57,12/7/2016 9:24,12/7/2016,8,57,Morning
2520,City,8,Trip Completed,12/7/2016 21:05,12/7/2016 22:20,12/7/2016,21,5,Night
3265,Airport,8,Trip Completed,7/13/2016 10:22,7/13/2016 11:07,7/13/2016,10,22,Morning
4648,City,8,Trip Completed,7/14/2016 11:55,7/14/2016 12:59,7/14/2016,11,55,Morning
449,Airport,9,Trip Completed,11/7/2016 9:08,11/7/2016 9:52,11/7/2016,9,8,Morning
846,Airport,9,Trip Completed,11/7/2016 17:46,11/7/2016 18:52,11/7/2016,17,46,Evening
1346,Airport,9,Trip Completed,11/7/2016 23:39,12/7/2016 0:23,11/7/2016,23,39,Night
1474,Airport,9,Trip Completed,12/7/2016 5:13,12/7/2016 5:56,12/7/2016,5,13,Early Morning
2240,City,9,Trip Completed,12/7/2016 18:20,12/7/2016 18:54,12/7/2016,18,20,Evening
3072,Airport,9,Trip Completed,7/13/2016 8:04,7/13/2016 8:36,7/13/2016,8,4,Morning
3459,Airport,9,Trip Completed,7/13/2016 17:03,7/13/2016 17:31,7/13/2016,17,3,Evening
3774,Airport,9,Trip Completed,7/13/2016 20:41,7/13/2016 21:27,7/13/2016,20,41,Night
4023,City,9,Trip Completed,7/13/2016 23:58,7/14/2016 0:58,7/13/2016,23,58,Night
4117,City,9,Trip Completed,7/14/2016 4:21,7/14/2016 5:07,7/14/2016,4,21,Early Morning
4880,Airport,9,Trip Completed,7/14/2016 17:58,7/14/2016 19:02,7/14/2016,17,58,Evening
5568,Airport,9,Trip Completed,7/15/2016 5:47,7/15/2016 6:25,7/15/2016,5,47,Early Morning
5994,Airport,9,Trip Completed,7/15/2016 11:51,7/15/2016 12:32,7/15/2016,11,51,Morning
1809,Airport,10,Trip Completed,12/7/2016 9:13,12/7/2016 10:01,12/7/2016,9,13,Morning
2064,Airport,10,Trip Completed,12/7/2016 15:08,12/7/2016 16:14,12/7/2016,15,8,Afternoon
3210,City,10,Trip Completed,7/13/2016 9:47,7/13/2016 10:52,7/13/2016,9,47,Morning
4350,City,10,Trip Completed,7/14/2016 7:24,7/14/2016 8:22,7/14/2016,7,24,Early Morning
4713,City,10,Trip Completed,7/14/2016 13:31,7/14/2016 14:10,7/14/2016,13,31,Afternoon
5629,Airport,10,Trip Completed,7/15/2016 6:33,7/15/2016 7:19,7/15/2016,6,33,Early Morning
6157,Airport,10,Trip Completed,7/15/2016 16:32,7/15/2016 17:44,7/15/2016,16,32,Evening
2030,City,11,Trip Completed,12/7/2016 14:11,12/7/2016 15:02,12/7/2016,14,11,Afternoon
3226,City,11,Trip Completed,7/13/2016 10:00,7/13/2016 11:02,7/13/2016,10,0,Morning
3353,City,11,Trip Completed,7/13/2016 13:29,7/13/2016 14:09,7/13/2016,13,29,Afternoon
4293,City,11,Trip Completed,7/14/2016 6:42,7/14/2016 7:12,7/14/2016,6,42,Early Morning
4936,City,11,Trip Completed,7/14/2016 18:22,7/14/2016 19:14,7/14/2016,18,22,Evening
5661,Airport,11,Trip Completed,7/15/2016 7:08,7/15/2016 7:59,7/15/2016,7,8,Early Morning
5778,City,11,Trip Completed,7/15/2016 8:22,7/15/2016 9:13,7/15/2016,8,22,Morning
6425,Airport,11,Trip Completed,7/15/2016 19:46,7/15/2016 20:26,7/15/2016,19,46,Night
45,Airport,12,Trip Completed,11/7/2016 3:17,11/7/2016 4:09,11/7/2016,3,17,Late Night
264,City,12,Trip Completed,11/7/2016 6:51,11/7/2016 7:40,11/7/2016,6,51,Early Morning
1183,City,12,Trip Completed,11/7/2016 21:05,11/7/2016 21:38,11/7/2016,21,5,Night
1536,Airport,12,Trip Completed,12/7/2016 5:59,12/7/2016 6:59,12/7/2016,5,59,Early Morning
2437,City,12,Trip Completed,12/7/2016 20:18,12/7/2016 21:26,12/7/2016,20,18,Night
2641,Airport,12,Trip Completed,12/7/2016 22:28,12/7/2016 23:05,12/7/2016,22,28,Night
4077,Airport,12,Trip Completed,7/14/2016 2:14,7/14/2016 3:13,7/14/2016,2,14,Late Night
4610,City,12,Trip Completed,7/14/2016 10:35,7/14/2016 11:39,7/14/2016,10,35,Morning
5066,Airport,12,Trip Completed,7/14/2016 19:31,7/14/2016 20:14,7/14/2016,19,31,Night
5666,Airport,12,Trip Completed,7/15/2016 7:04,7/15/2016 8:12,7/15/2016,7,4,Early Morning
5923,City,12,Trip Completed,7/15/2016 10:07,7/15/2016 10:50,7/15/2016,10,7,Morning
6367,City,12,Trip Completed,7/15/2016 19:04,7/15/2016 19:46,7/15/2016,19,4,Night
155,City,13,Trip Completed,11/7/2016 5:32,11/7/2016 6:28,11/7/2016,5,32,Early Morning
310,Airport,13,Trip Completed,11/7/2016 7:24,11/7/2016 8:28,11/7/2016,7,24,Early Morning
607,City,13,Trip Completed,11/7/2016 11:51,11/7/2016 12:42,11/7/2016,11,51,Morning
1012,City,13,Trip Completed,11/7/2016 19:15,11/7/2016 19:57,11/7/2016,19,15,Night
1696,Airport,13,Trip Completed,12/7/2016 8:01,12/7/2016 8:42,12/7/2016,8,1,Morning
3076,City,13,Trip Completed,7/13/2016 8:09,7/13/2016 9:12,7/13/2016,8,9,Morning
4198,Airport,13,Trip Completed,7/14/2016 5:32,7/14/2016 6:45,7/14/2016,5,32,Early Morning
4627,City,13,Trip Completed,7/14/2016 11:13,7/14/2016 12:00,7/14/2016,11,13,Morning
5289,City,13,Trip Completed,7/14/2016 21:43,7/14/2016 22:24,7/14/2016,21,43,Night
5495,Airport,13,Trip Completed,7/15/2016 5:00,7/15/2016 6:02,7/15/2016,5,0,Early Morning
6656,Airport,13,Trip Completed,7/15/2016 22:08,7/15/2016 22:41,7/15/2016,22,8,Night
139,Airport,14,Trip Completed,11/7/2016 5:21,11/7/2016 6:09,11/7/2016,5,21,Early Morning
215,City,14,Trip Completed,11/7/2016 6:15,11/7/2016 7:07,11/7/2016,6,15,Early Morning
1816,City,14,Trip Completed,12/7/2016 9:24,12/7/2016 10:07,12/7/2016,9,24,Morning
2505,Airport,14,Trip Completed,12/7/2016 21:03,12/7/2016 22:14,12/7/2016,21,3,Night
3346,City,14,Trip Completed,7/13/2016 13:01,7/13/2016 13:55,7/13/2016,13,1,Afternoon
5294,City,14,Trip Completed,7/14/2016 21:45,7/14/2016 22:16,7/14/2016,21,45,Night
6226,Airport,14,Trip Completed,7/15/2016 17:34,7/15/2016 18:33,7/15/2016,17,34,Evening
6733,Airport,14,Trip Completed,7/15/2016 23:32,7/16/2016 0:37,7/15/2016,23,32,Night
1027,Airport,15,Trip Completed,11/7/2016 19:18,11/7/2016 20:24,11/7/2016,19,18,Night
2675,Airport,15,Trip Completed,12/7/2016 23:43,7/13/2016 0:35,12/7/2016,23,43,Night
3200,City,15,Trip Completed,7/13/2016 9:39,7/13/2016 10:30,7/13/2016,9,39,Morning
3865,City,15,Trip Completed,7/13/2016 21:52,7/13/2016 22:21,7/13/2016,21,52,Night
4468,City,15,Trip Completed,7/14/2016 8:42,7/14/2016 9:22,7/14/2016,8,42,Morning
5163,Airport,15,Trip Completed,7/14/2016 20:34,7/14/2016 21:05,7/14/2016,20,34,Night
6009,City,15,Trip Completed,7/15/2016 12:22,7/15/2016 13:25,7/15/2016,12,22,Afternoon
6448,Airport,15,Trip Completed,7/15/2016 20:02,7/15/2016 20:40,7/15/2016,20,2,Night
591,City,16,Trip Completed,11/7/2016 11:25,11/7/2016 12:31,11/7/2016,11,25,Morning
709,City,16,Trip Completed,11/7/2016 14:16,11/7/2016 15:03,11/7/2016,14,16,Afternoon
1167,Airport,16,Trip Completed,11/7/2016 20:50,11/7/2016 21:52,11/7/2016,20,50,Night
2661,Airport,16,Trip Completed,12/7/2016 23:23,7/13/2016 0:27,12/7/2016,23,23,Night
2808,City,16,Trip Completed,7/13/2016 5:05,7/13/2016 5:56,7/13/2016,5,5,Early Morning
3258,Airport,16,Trip Completed,7/13/2016 10:12,7/13/2016 10:45,7/13/2016,10,12,Morning
3413,Airport,16,Trip Completed,7/13/2016 15:32,7/13/2016 16:45,7/13/2016,15,32,Afternoon
3939,Airport,16,Trip Completed,7/13/2016 22:26,7/13/2016 22:55,7/13/2016,22,26,Night
4125,City,16,Trip Completed,7/14/2016 4:37,7/14/2016 5:46,7/14/2016,4,37,Early Morning
4457,City,16,Trip Completed,7/14/2016 8:36,7/14/2016 9:19,7/14/2016,8,36,Morning
4728,City,16,Trip Completed,7/14/2016 14:04,7/14/2016 15:06,7/14/2016,14,4,Afternoon
5347,Airport,16,Trip Completed,7/14/2016 22:51,7/14/2016 23:53,7/14/2016,22,51,Night
6147,City,16,Trip Completed,7/15/2016 16:11,7/15/2016 17:30,7/15/2016,16,11,Evening
6496,Airport,16,Trip Completed,7/15/2016 20:33,7/15/2016 21:32,7/15/2016,20,33,Night
634,City,17,Trip Completed,11/7/2016 12:25,11/7/2016 13:06,11/7/2016,12,25,Afternoon
939,Airport,17,Trip Completed,11/7/2016 18:25,11/7/2016 19:26,11/7/2016,18,25,Evening
2628,Airport,17,Trip Completed,12/7/2016 22:10,12/7/2016 23:25,12/7/2016,22,10,Night
3021,City,17,Trip Completed,7/13/2016 7:33,7/13/2016 8:26,7/13/2016,7,33,Early Morning
4743,City,17,Trip Completed,7/14/2016 14:54,7/14/2016 15:39,7/14/2016,14,54,Afternoon
4981,City,17,Trip Completed,7/14/2016 18:47,7/14/2016 19:43,7/14/2016,18,47,Evening
5367,Airport,17,Trip Completed,7/14/2016 23:35,7/15/2016 0:25,7/14/2016,23,35,Night
5471,Airport,17,Trip Completed,7/15/2016 4:48,7/15/2016 5:47,7/15/2016,4,48,Early Morning
5988,Airport,17,Trip Completed,7/15/2016 11:48,7/15/2016 12:55,7/15/2016,11,48,Morning
6477,Airport,17,Trip Completed,7/15/2016 20:21,7/15/2016 21:00,7/15/2016,20,21,Night
499,City,18,Trip Completed,11/7/2016 9:39,11/7/2016 10:16,11/7/2016,9,39,Morning
1147,Airport,18,Trip Completed,11/7/2016 20:42,11/7/2016 21:18,11/7/2016,20,42,Night
1410,Airport,18,Trip Completed,12/7/2016 3:14,12/7/2016 4:27,12/7/2016,3,14,Late Night
1804,Airport,18,Trip Completed,12/7/2016 9:12,12/7/2016 9:57,12/7/2016,9,12,Morning
1949,Airport,18,Trip Completed,12/7/2016 11:32,12/7/2016 12:13,12/7/2016,11,32,Morning
2713,City,18,Trip Completed,7/13/2016 1:46,7/13/2016 2:37,7/13/2016,1,46,Late Night
2845,City,18,Trip Completed,7/13/2016 5:28,7/13/2016 6:10,7/13/2016,5,28,Early Morning
3943,Airport,18,Trip Completed,7/13/2016 22:35,7/13/2016 23:33,7/13/2016,22,35,Night
4792,City,18,Trip Completed,7/14/2016 16:47,7/14/2016 17:34,7/14/2016,16,47,Evening
5207,Airport,18,Trip Completed,7/14/2016 20:57,7/14/2016 21:56,7/14/2016,20,57,Night
5890,City,18,Trip Completed,7/15/2016 9:43,7/15/2016 10:55,7/15/2016,9,43,Morning
494,City,19,Trip Completed,11/7/2016 9:36,11/7/2016 10:02,11/7/2016,9,36,Morning
1485,City,19,Trip Completed,12/7/2016 5:21,12/7/2016 6:35,12/7/2016,5,21,Early Morning
2042,City,19,Trip Completed,12/7/2016 14:30,12/7/2016 15:09,12/7/2016,14,30,Afternoon
2561,Airport,19,Trip Completed,12/7/2016 21:29,12/7/2016 22:44,12/7/2016,21,29,Night
3813,Airport,19,Trip Completed,7/13/2016 21:06,7/13/2016 21:46,7/13/2016,21,6,Night
4260,Airport,19,Trip Completed,7/14/2016 6:11,7/14/2016 6:59,7/14/2016,6,11,Early Morning
4395,City,19,Trip Completed,7/14/2016 8:00,7/14/2016 8:54,7/14/2016,8,0,Morning
5919,City,19,Trip Completed,7/15/2016 10:03,7/15/2016 10:59,7/15/2016,10,3,Morning
6002,Airport,19,Trip Completed,7/15/2016 12:04,7/15/2016 12:53,7/15/2016,12,4,Afternoon
468,City,20,Trip Completed,11/7/2016 9:20,11/7/2016 10:05,11/7/2016,9,20,Morning
693,Airport,20,Trip Completed,11/7/2016 13:51,11/7/2016 15:01,11/7/2016,13,51,Afternoon
1178,City,20,Trip Completed,11/7/2016 21:05,11/7/2016 22:06,11/7/2016,21,5,Night
2103,City,20,Trip Completed,12/7/2016 16:08,12/7/2016 17:18,12/7/2016,16,8,Evening
2292,Airport,20,Trip Completed,12/7/2016 18:46,12/7/2016 19:23,12/7/2016,18,46,Evening
3339,City,20,Trip Completed,7/13/2016 12:40,7/13/2016 13:30,7/13/2016,12,40,Afternoon
3694,City,20,Trip Completed,7/13/2016 19:33,7/13/2016 20:35,7/13/2016,19,33,Night
4469,City,20,Trip Completed,7/14/2016 8:45,7/14/2016 9:48,7/14/2016,8,45,Morning
6432,City,20,Trip Completed,7/15/2016 19:50,7/15/2016 20:30,7/15/2016,19,50,Night
1895,City,21,Trip Completed,12/7/2016 10:20,12/7/2016 10:52,12/7/2016,10,20,Morning
1981,Airport,21,Trip Completed,12/7/2016 12:23,12/7/2016 12:56,12/7/2016,12,23,Afternoon
3744,Airport,21,Trip Completed,7/13/2016 20:28,7/13/2016 21:22,7/13/2016,20,28,Night
4433,Airport,21,Trip Completed,7/14/2016 8:26,7/14/2016 9:12,7/14/2016,8,26,Morning
6039,Airport,21,Trip Completed,7/15/2016 13:11,7/15/2016 13:38,7/15/2016,13,11,Afternoon
6543,City,21,Trip Completed,7/15/2016 20:54,7/15/2016 22:12,7/15/2016,20,54,Night
110,City,22,Trip Completed,11/7/2016 5:05,11/7/2016 6:06,11/7/2016,5,5,Early Morning
362,City,22,Trip Completed,11/7/2016 8:01,11/7/2016 9:18,11/7/2016,8,1,Morning
666,Airport,22,Trip Completed,11/7/2016 13:02,11/7/2016 13:45,11/7/2016,13,2,Afternoon
926,City,22,Trip Completed,11/7/2016 18:28,11/7/2016 19:34,11/7/2016,18,28,Evening
1180,Airport,22,Trip Completed,11/7/2016 21:01,11/7/2016 22:14,11/7/2016,21,1,Night
1900,City,22,Trip Completed,12/7/2016 10:32,12/7/2016 11:42,12/7/2016,10,32,Morning
2506,City,22,Trip Completed,12/7/2016 21:01,12/7/2016 21:38,12/7/2016,21,1,Night
3064,City,22,Trip Completed,7/13/2016 8:02,7/13/2016 8:58,7/13/2016,8,2,Morning
3327,Airport,22,Trip Completed,7/13/2016 12:24,7/13/2016 13:23,7/13/2016,12,24,Afternoon
3601,City,22,Trip Completed,7/13/2016 18:39,7/13/2016 19:29,7/13/2016,18,39,Evening
4768,Airport,22,Trip Completed,7/14/2016 15:39,7/14/2016 16:49,7/14/2016,15,39,Afternoon
5142,City,22,Trip Completed,7/14/2016 20:17,7/14/2016 20:48,7/14/2016,20,17,Night
5366,Airport,22,Trip Completed,7/14/2016 23:27,7/15/2016 0:19,7/14/2016,23,27,Night
5575,City,22,Trip Completed,7/15/2016 5:53,7/15/2016 6:50,7/15/2016,5,53,Early Morning
5902,City,22,Trip Completed,7/15/2016 9:52,7/15/2016 10:37,7/15/2016,9,52,Morning
6694,Airport,22,Trip Completed,7/15/2016 22:45,7/15/2016 23:17,7/15/2016,22,45,Night
523,Airport,23,Trip Completed,11/7/2016 9:48,11/7/2016 10:37,11/7/2016,9,48,Morning
747,City,23,Trip Completed,11/7/2016 15:53,11/7/2016 16:43,11/7/2016,15,53,Afternoon
1371,Airport,23,Trip Completed,12/7/2016 0:22,12/7/2016 1:33,12/7/2016,0,22,Late Night
1553,City,23,Trip Completed,12/7/2016 6:09,12/7/2016 7:09,12/7/2016,6,9,Early Morning
1692,Airport,23,Trip Completed,12/7/2016 7:52,12/7/2016 9:01,12/7/2016,7,52,Early Morning
2114,City,23,Trip Completed,12/7/2016 16:36,12/7/2016 17:21,12/7/2016,16,36,Evening
2742,City,23,Trip Completed,7/13/2016 3:07,7/13/2016 3:51,7/13/2016,3,7,Late Night
4273,City,23,Trip Completed,7/14/2016 6:17,7/14/2016 7:02,7/14/2016,6,17,Early Morning
4668,City,23,Trip Completed,7/14/2016 12:25,7/14/2016 13:34,7/14/2016,12,25,Afternoon
5425,City,23,Trip Completed,7/15/2016 2:23,7/15/2016 3:08,7/15/2016,2,23,Late Night
5488,City,23,Trip Completed,7/15/2016 4:53,7/15/2016 6:00,7/15/2016,4,53,Early Morning
5781,City,23,Trip Completed,7/15/2016 8:35,7/15/2016 9:42,7/15/2016,8,35,Morning
5966,Airport,23,Trip Completed,7/15/2016 10:54,7/15/2016 11:58,7/15/2016,10,54,Morning
6122,City,23,Trip Completed,7/15/2016 15:26,7/15/2016 16:29,7/15/2016,15,26,Afternoon
357,Airport,24,Trip Completed,11/7/2016 8:00,11/7/2016 9:08,11/7/2016,8,0,Morning
1068,City,24,Trip Completed,11/7/2016 19:52,11/7/2016 20:48,11/7/2016,19,52,Night
2689,Airport,24,Trip Completed,7/13/2016 0:34,7/13/2016 1:49,7/13/2016,0,34,Late Night
2791,City,24,Trip Completed,7/13/2016 4:56,7/13/2016 5:33,7/13/2016,4,56,Early Morning
3321,City,24,Trip Completed,7/13/2016 12:23,7/13/2016 13:25,7/13/2016,12,23,Afternoon
3423,Airport,24,Trip Completed,7/13/2016 15:52,7/13/2016 16:50,7/13/2016,15,52,Afternoon
3761,Airport,24,Trip Completed,7/13/2016 20:35,7/13/2016 21:39,7/13/2016,20,35,Night
4140,City,24,Trip Completed,7/14/2016 4:48,7/14/2016 6:05,7/14/2016,4,48,Early Morning
4656,City,24,Trip Completed,7/14/2016 12:06,7/14/2016 12:49,7/14/2016,12,6,Afternoon
4931,Airport,24,Trip Completed,7/14/2016 18:21,7/14/2016 18:54,7/14/2016,18,21,Evening
5268,City,24,Trip Completed,7/14/2016 21:29,7/14/2016 22:30,7/14/2016,21,29,Night
5811,City,24,Trip Completed,7/15/2016 8:46,7/15/2016 9:26,7/15/2016,8,46,Morning
6139,Airport,24,Trip Completed,7/15/2016 15:45,7/15/2016 16:40,7/15/2016,15,45,Afternoon
6333,Airport,24,Trip Completed,7/15/2016 18:41,7/15/2016 19:53,7/15/2016,18,41,Evening
773,City,25,Trip Completed,11/7/2016 16:23,11/7/2016 17:21,11/7/2016,16,23,Evening
1123,City,25,Trip Completed,11/7/2016 20:20,11/7/2016 21:18,11/7/2016,20,20,Night
2667,Airport,25,Trip Completed,12/7/2016 23:35,7/13/2016 0:40,12/7/2016,23,35,Night
2833,City,25,Trip Completed,7/13/2016 5:27,7/13/2016 6:19,7/13/2016,5,27,Early Morning
3396,City,25,Trip Completed,7/13/2016 14:59,7/13/2016 15:57,7/13/2016,14,59,Afternoon
3590,City,25,Trip Completed,7/13/2016 18:31,7/13/2016 19:31,7/13/2016,18,31,Evening
3762,City,25,Trip Completed,7/13/2016 20:38,7/13/2016 21:21,7/13/2016,20,38,Night
4566,City,25,Trip Completed,7/14/2016 9:48,7/14/2016 10:22,7/14/2016,9,48,Morning
4862,City,25,Trip Completed,7/14/2016 17:37,7/14/2016 18:41,7/14/2016,17,37,Evening
5564,Airport,25,Trip Completed,7/15/2016 5:41,7/15/2016 6:53,7/15/2016,5,41,Early Morning
6187,City,25,Trip Completed,7/15/2016 17:11,7/15/2016 18:08,7/15/2016,17,11,Evening
6642,City,25,Trip Completed,7/15/2016 22:07,7/15/2016 22:54,7/15/2016,22,7,Night
322,City,26,Trip Completed,11/7/2016 7:31,11/7/2016 8:10,11/7/2016,7,31,Early Morning
793,City,26,Trip Completed,11/7/2016 17:04,11/7/2016 18:06,11/7/2016,17,4,Evening
898,Airport,26,Trip Completed,11/7/2016 18:14,11/7/2016 19:09,11/7/2016,18,14,Evening
1258,City,26,Trip Completed,11/7/2016 21:51,11/7/2016 23:00,11/7/2016,21,51,Night
2832,City,26,Trip Completed,7/13/2016 5:20,7/13/2016 6:14,7/13/2016,5,20,Early Morning
3139,City,26,Trip Completed,7/13/2016 8:54,7/13/2016 9:22,7/13/2016,8,54,Morning
3438,City,26,Trip Completed,7/13/2016 16:12,7/13/2016 17:13,7/13/2016,16,12,Evening
3966,Airport,26,Trip Completed,7/13/2016 22:50,7/13/2016 23:27,7/13/2016,22,50,Night
6401,Airport,26,Trip Completed,7/15/2016 19:33,7/15/2016 20:16,7/15/2016,19,33,Night
204,City,27,Trip Completed,11/7/2016 6:04,11/7/2016 6:44,11/7/2016,6,4,Early Morning
